0: 3.701625, -6.539063, -0.444334, -0.5639085
1: 2.347309, -7.344614, -0.3012598, -0.137222
2: 2.686105, -7.844047, -0.3281989, 0.3431384
3: 2.371236, -6.666512, -0.0610255, 0.2256625
4: 2.47834, -7.655412, -0.1421739, 0.5721895
5: 2.346065, -7.41921, -0.1118516, 0.04392179
6: 2.29579, -4.251702, 0.1302039, 0.4283133
7: 2.326004, -5.283762, -0.03563066, -0.5644251
8: 2.355792, -6.455662, 0.1312123, 0.5721895
9: 2.309197, -7.444225, -0.4799555, -0.2372457
10: 2.342466, -7.86026, -0.1820744, 0.08907746
11: 2.298456, -7.192332, -0.1825466, -0.5721896
12: 2.344306, -5.459297, 0.07875431, 0.03913268
13: 2.301691, -4.895424, 0.3352854, 0.5721898
14: 2.299502, -6.072148, -0.09719879, 0.4707896
15: 2.313862, -7.454144, -0.4112072, 0.3507109
16: 2.297257, -7.004775, -0.2011559, 0.253178
17: 2.349768, -2.53443, 0.3848434, 0.5644251
18: 2.595613, -2.447099, 0.224706, 0.5721895
19: 2.309412, -7.832487, -0.2793745, 0.5644249
20: 2.350418, -5.442992, 0.2393966, 0.5721895
21: 2.31936, -5.379894, 0.1031567, 0.5721895
22: 2.398527, -3.666709, 0.2370237, 0.5721895
23: 2.298469, -5.442913, -0.02276414, -0.2368954
24: 2.29849, -6.034042, 0.2123437, 0.5721895
25: 3.706324, -2.731455, 0.4522414, 0.5721895
26: 2.303154, -7.979477, 0.1008492, 0.5721897
27: 3.146972, -7.959424, 0.03129358, 0.5721895
28: 3.490326, -6.625171, 0.3318952, 0.5721895
29: 2.31188, -4.367352, 0.2850623, 0.5721895
30: 2.314279, -6.967633, 0.3061733, 0.5721895
31: 2.449032, -2.585174, 0.5204934, 0.5721895
32: 3.684229, -5.158969, 0.1618487, 0.5644249
33: 2.314345, -3.808329, 0.355228, 0.5721897
34: 1.746972, -5.165957, -0.4632067, -0.4735225
35: 2.301036, -5.518141, 0.1870053, 0.5721895
36: 2.307468, -6.30388, 0.1061295, 0.5721895
37: 2.309472, -1.940961, 0.458281, 0.5721895
38: 3.112011, -4.828906, 0.3737453, 0.5644249
39: 2.349343, -5.504809, 0.2022341, 0.5721895
40: 2.35023, -7.424377, 0.5220482, 0.5721898
41: 2.343269, -4.178191, 0.1499908, 0.5721895
42: 2.29772, -4.740757, 0.3009252, 0.5721895
43: 2.352446, -7.362797, 0.02062784, 0.5721895
44: 1.952012, -2.697924, -0.008551778, 0.5721895
45: 2.345799, -3.253994, 0.4572313, 0.5721895
46: 2.350655, -6.726334, 0.1168112, 0.5721895
47: 2.347399, -7.629052, 0.3998016, 0.5644252
48: 2.326944, -2.719004, 0.2080664, 0.5721895
49: 1.703781, -5.105313, 0.08895572, 0.5721895
50: 2.403016, -1.708429, 0.4514184, 0.5721895
51: 2.313457, -6.248042, 0.2581061, 0.5721895
52: 2.340328, -4.677149, 0.2551022, 0.5644249
53: 1.702679, -7.820935, 0.1883766, 0.5721895
54: 2.31892, -2.116927, 0.4504057, 0.5721898
55: 2.294635, -7.66563, 0.2778106, 0.5721895
56: 2.299634, -2.685437, 0.5053039, 0.5644249
57: 2.29643, -2.907307, 0.444709, 0.5721895
58: 2.295586, -3.629997, 0.3131347, 0.5721895
59: 2.934095, -2.530591, 0.2618519, 0.5721895
60: 2.311911, -6.443594, 0.3670315, 0.5721898
61: 2.395025, -6.762836, 0.220397, 0.5721895
62: 2.299725, -3.697165, 0.3388126, 0.5644249
63: 2.314582, -7.694386, 0.1591355, 0.5721895
64: 2.346033, -6.907551, 0.01419243, 0.5721895
65: 2.403509, -7.011953, -0.3338249, 0.5227538
66: 2.348146, -6.010578, 0.02424239, 0.5721895
67: 2.353355, -5.462314, 0.3981241, 0.5721895
68: 2.301465, -2.541721, 0.414026, 0.5721895
69: 3.864457, -5.679152, 0.08464459, 0.5721895
70: 4.092542, -6.928895, 0.1987612, 0.5721895
71: 2.371155, -6.971023, 0.1122724, 0.5644249
72: 3.698248, -6.657467, 0.190397, 0.5721895
73: 2.29848, -7.885528, 0.1177864, 0.5644249
74: 1.702063, -5.378334, 0.02844313, 0.5721898
75: 2.295659, -3.589308, 0.2485845, 0.5644252
76: 2.347193, -7.675411, 0.1397232, 0.5721895
77: 4.298565, -7.952121, 0.1183686, 0.5721898
78: 3.178905, -7.509074, -0.1109171, 0.5721898
79: 2.345081, -7.530623, 0.3362492, 0.5721898
80: 2.593313, -4.201918, 0.40813, 0.5721898
81: 2.351243, -2.149821, 0.6484192, 0.5721898
82: 2.349765, -1.309696, 0.7301641, 0.5721898
83: 2.358578, -6.756445, 0.4857595, 0.5721898
84: 2.348568, -2.395859, 0.7167637, 0.5721898
85: 2.353667, -5.83488, 0.6417632, 0.5721898
86: 2.389449, -2.142507, 0.6341539, 0.5644252
87: 2.552677, -2.746579, 0.5775654, 0.5721898
88: 2.350982, -4.207858, 0.5140104, 0.5721898
